"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME (V.3)";"libellé ROME (V.3)";"lien ROME";domaine/sous-domaine
"responsable de laboratoire de recherche";https://www.onisep.fr/http/redirection/metier/slug/MET.109;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/metierscope/fiche-metier/K2402;"lettres, langues, enseignement/enseignement"
"chef / cheffe de partie";https://www.onisep.fr/http/redirection/metier/slug/MET.7991;"Les métiers de l'élevage et de l'alimentation";"Zoom sur les métiers";2021;9782273015523;"GFE K : production alimentaire";G1602;"Personnel de cuisine";https://candidat.francetravail.fr/metierscope/fiche-metier/G1602;"hôtellerie-restauration, tourisme/restauration"
"ambassadeur / ambassadrice";https://www.onisep.fr/http/redirection/metier/slug/MET.7927;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";K1405;"Représentation de l'Etat sur le territoire national ou international";https://candidat.francetravail.fr/metierscope/fiche-metier/K1405;"économie, droit, politique/sciences économiques| économie, droit, politique/sciences politiques"
"fromager / fromagère";https://www.onisep.fr/http/redirection/metier/slug/MET.510;"Les métiers de l'agriculture";"Zoom sur les métiers";2021;9782273015608;"GFE K : production alimentaire";D1106;"Vente en alimentation";https://candidat.francetravail.fr/metierscope/fiche-metier/D1106;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces"
"juriste d'entreprise";https://www.onisep.fr/http/redirection/metier/slug/MET.82;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE W : droit, enseignement, recherche et sciences humaines";K1903;"Défense et conseil juridique";https://candidat.francetravail.fr/metierscope/fiche-metier/K1903;"économie, droit, politique/droit social"
"concepteur / conceptrice multimédia";https://www.onisep.fr/http/redirection/metier/slug/MET.564;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";E1104;"Conception de contenus multimédias";https://candidat.francetravail.fr/metierscope/fiche-metier/E1104;"information-communication, audiovisuel/multimédia"
anatomiste;https://www.onisep.fr/http/redirection/metier/slug/MET.921;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";;;;"sciences/biologie| santé, social, sport/médical"
journaliste;https://www.onisep.fr/http/redirection/metier/slug/MET.45;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1106;"Journalisme et information média";https://candidat.francetravail.fr/metierscope/fiche-metier/E1106;"information-communication, audiovisuel/journalisme, édition, publicité"
géomètre-topographe;https://www.onisep.fr/http/redirection/metier/slug/MET.408;"Les métiers de l'immobilier";Parcours;2021;9782273015837;"GFE C : bâtiment";F1108;"Métré de la construction";https://candidat.francetravail.fr/metierscope/fiche-metier/F1108;"construction, architecture, travaux publics/bureau d'études BTP| sciences/sciences de la Terre| construction, architecture, travaux publics/travaux publics"
"secrétaire des Affaires étrangères";https://www.onisep.fr/http/redirection/metier/slug/MET.301;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";;;;"lettres, langues, enseignement/langues| économie, droit, politique/sciences économiques| économie, droit, politique/sciences politiques"
"chauffeur-livreur / chauffeuse-livreuse";https://www.onisep.fr/http/redirection/metier/slug/MET.210;"Les métiers du commerce et de la vente";"Zoom sur les métiers";2022;9782273016230;"GFE O : transport, logistique";N4105;"Conduite et livraison par tournées sur courte distance";https://candidat.francetravail.fr/metierscope/fiche-metier/N4105;"logistique, transport/transport"
réceptionniste;https://www.onisep.fr/http/redirection/metier/slug/MET.3;"Les métiers de l'hôtellerie et de la restauration";Parcours;2022;9782273016179;"GFE S : hôtellerie,  tourisme, loisirs";G1703;"Réception en hôtellerie";https://candidat.francetravail.fr/metierscope/fiche-metier/G1703;"hôtellerie-restauration, tourisme/hôtellerie| hôtellerie-restauration, tourisme/tourisme"
"opérateur / opératrice de fabrication de produits alimentaires";https://www.onisep.fr/http/redirection/metier/slug/MET.20;"Les métiers de l'agroalimentaire";Parcours;2019;9782273014557;"GFE K : production alimentaire";H2102;"Conduite d'équipement de production alimentaire";https://candidat.francetravail.fr/metierscope/fiche-metier/H2102;"matières premières, fabrication, industries/agroalimentaire| mécanique/automatismes"
"conseiller / conseillère pénitentiaire d'insertion et de probation";https://www.onisep.fr/http/redirection/metier/slug/MET.712;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE W : droit, enseignement, recherche et sciences humaines";K1207;"Intervention socioéducative";https://candidat.francetravail.fr/metierscope/fiche-metier/K1207;"santé, social, sport/travail social"
"ingénieur électronicien / ingénieure électronicienne";https://www.onisep.fr/http/redirection/metier/slug/MET.863;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE H : électricité, énergie, électronique";"H1206 | H2502";"Management et ingénierie études, recherche et développement industriel | Management et ingénierie de production";"https://candidat.francetravail.fr/metierscope/fiche-metier/H1206 | https://candidat.francetravail.fr/metierscope/fiche-metier/H2502";"électricité, électronique, robotique/électronique"
"soudeur / soudeuse";https://www.onisep.fr/http/redirection/metier/slug/MET.899;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE E : travail des métaux";H2913;"Soudage manuel";https://candidat.francetravail.fr/metierscope/fiche-metier/H2913;"mécanique/travail des métaux"
"soudeur / soudeuse";https://www.onisep.fr/http/redirection/metier/slug/MET.899;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2023;9782273016292;"GFE E : travail des métaux";H2913;"Soudage manuel";https://candidat.francetravail.fr/metierscope/fiche-metier/H2913;"mécanique/travail des métaux"
aide-chimiste;https://www.onisep.fr/http/redirection/metier/slug/MET.952;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1503;"Intervention technique en laboratoire d'analyse industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/H1503;sciences/chimie
"attaché / attachée de presse";https://www.onisep.fr/http/redirection/metier/slug/MET.879;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1103;Communication;https://candidat.francetravail.fr/metierscope/fiche-metier/E1103;"information-communication, audiovisuel/communication"
réflexologue;https://www.onisep.fr/http/redirection/metier/slug/MET.497;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";K1103;"Développement personnel et bien-être de la personne";https://candidat.francetravail.fr/metierscope/fiche-metier/K1103;"santé, social, sport/santé (généralités)"
"pharmacien industriel / pharmacienne industrielle";https://www.onisep.fr/http/redirection/metier/slug/MET.412;"Les métiers du médical";Parcours;2021;9782273015813;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/metierscope/fiche-metier/H2502;"santé, social, sport/médical"
"conducteur / conductrice de bus ou d'autocar";https://www.onisep.fr/http/redirection/metier/slug/MET.907;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE O : transport, logistique";N4103;"Conduite de transport en commun sur route";https://candidat.francetravail.fr/metierscope/fiche-metier/N4103;"logistique, transport/transport"
"charpentier / charpentière bois";https://www.onisep.fr/http/redirection/metier/slug/MET.9;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE M : travail du bois";F1501;"Montage de structures et de charpentes bois";https://candidat.francetravail.fr/metierscope/fiche-metier/F1501;"matières premières, fabrication, industries/bois| construction, architecture, travaux publics/charpente, couverture| construction, architecture, travaux publics/génie civil, construction (généralités)"
"technicien / technicienne de maintenance en infrastructure aéroportuaire";https://www.onisep.fr/http/redirection/metier/slug/MET.7994;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2023;9782273016292;"GFE F : mécanique";I1304;"Installation et maintenance d'équipements industriels et d'exploitation";https://candidat.francetravail.fr/metierscope/fiche-metier/I1304;"électricité, électronique, robotique/électronique| électricité, électronique, robotique/électrotechnique| matières premières, fabrication, industries/maintenance, qualité| mécanique/mécanique (généralités)"
"expert immobilier / experte immobilier";https://www.onisep.fr/http/redirection/metier/slug/MET.482;"Les métiers de l'immobilier";Parcours;2021;9782273015837;"GFE Q : commerce, gestion, finances";;;;"banque, assurances, immobilier/immobilier"
"ferronnier / ferronnière d'art";https://www.onisep.fr/http/redirection/metier/slug/MET.781;"Les métiers de l'artisanat d'art";Parcours;2023;9782273016353;"GFE E : travail des métaux";B1601;"Métallerie d'art";https://candidat.francetravail.fr/metierscope/fiche-metier/B1601;"arts, culture, artisanat/artisanat d'art"
"technicien éco-concepteur / technicienne éco-conceptrice";https://www.onisep.fr/http/redirection/metier/slug/MET.7955;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";;;;"environnement, énergies, propreté/environnement (généralités)| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/matériaux"
