"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME (V.3)";"libellé ROME (V.3)";"lien ROME";domaine/sous-domaine
"biostatisticien / biostatisticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.126;"Mathématiques, statistiques et informatique";"Zoom sur les métiers";2021;9782273015547;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/metierscope/fiche-metier/K2402;"sciences/biologie| informatique, Internet/informatique (généralités)| sciences/mathématiques| santé, social, sport/santé (généralités)"
"éducateur / éducatrice de chiens guides d'aveugles";https://www.onisep.fr/http/redirection/metier/slug/MET.7817;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE A : agriculture";;;;"agriculture, animaux/soins aux animaux"
"parfumeur / parfumeuse";https://www.onisep.fr/http/redirection/metier/slug/MET.440;"Mode et luxe";Parcours;2024;9782273016803;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1505;"Intervention technique en formulation et analyse sensorielle";https://candidat.francetravail.fr/metierscope/fiche-metier/H1505;sciences/chimie
"designer graphique";https://www.onisep.fr/http/redirection/metier/slug/MET.5;"Les métiers du jeu vidéo";Parcours;2023;9782273016193;"GFE N : techniques graphiques, impression";E1205;"Réalisation de contenus multimédias";https://candidat.francetravail.fr/metierscope/fiche-metier/E1205;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/industries graphiques"
"designer graphique";https://www.onisep.fr/http/redirection/metier/slug/MET.5;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE N : techniques graphiques, impression";E1205;"Réalisation de contenus multimédias";https://candidat.francetravail.fr/metierscope/fiche-metier/E1205;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/industries graphiques"
"responsable de laboratoire de contrôle en biologie";https://www.onisep.fr/http/redirection/metier/slug/MET.946;"Les métiers du médical";Parcours;2021;9782273015813;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1501;"Direction de laboratoire d'analyse industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/H1501;sciences/biologie
sage-femme;https://www.onisep.fr/http/redirection/metier/slug/MET.787;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";J1104;"Suivi de la grossesse et de l'accouchement";https://candidat.francetravail.fr/metierscope/fiche-metier/J1104;"santé, social, sport/médical"
"psychomotricien / psychomotricienne";https://www.onisep.fr/http/redirection/metier/slug/MET.876;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";J1412;"Rééducation en psychomotricité";https://candidat.francetravail.fr/metierscope/fiche-metier/J1412;"santé, social, sport/paramédical"
"responsable e-CRM";https://www.onisep.fr/http/redirection/metier/slug/MET.353;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";M1704;"Management relation clientèle";https://candidat.francetravail.fr/metierscope/fiche-metier/M1704;"commerce, marketing, vente/marketing, vente"
climatologue;https://www.onisep.fr/http/redirection/metier/slug/MET.223;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/metierscope/fiche-metier/K2402;"sciences/sciences de la Terre"
"infirmier / infirmière";https://www.onisep.fr/http/redirection/metier/slug/MET.38;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";J1506;"Soins infirmiers généralistes";https://candidat.francetravail.fr/metierscope/fiche-metier/J1506;"santé, social, sport/paramédical"
"chef / cheffe de projet communication digitale";https://www.onisep.fr/http/redirection/metier/slug/MET.802;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE U : communication, médias";E1103;Communication;https://candidat.francetravail.fr/metierscope/fiche-metier/E1103;"information-communication, audiovisuel/communication| commerce, marketing, vente/marketing, vente"
"responsable de maintenance des installations ferroviaires";https://www.onisep.fr/http/redirection/metier/slug/MET.853;;"pas de publication Onisep spécifique";;;"GFE F : mécanique";I1304;"Installation et maintenance d'équipements industriels et d'exploitation";https://candidat.francetravail.fr/metierscope/fiche-metier/I1304;"matières premières, fabrication, industries/maintenance, qualité| mécanique/mécanique (généralités)"
"ingénieur / ingénieure R&D en énergies renouvelables";https://www.onisep.fr/http/redirection/metier/slug/MET.303;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE H : électricité, énergie, électronique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"environnement, énergies, propreté/énergies"
"administrateur / administratrice de réseaux";https://www.onisep.fr/http/redirection/metier/slug/MET.665;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1801;"Administration de systèmes d'information";https://candidat.francetravail.fr/metierscope/fiche-metier/M1801;"informatique, Internet/systèmes et réseaux| électricité, électronique, robotique/télécommunications"
"administrateur / administratrice de réseaux";https://www.onisep.fr/http/redirection/metier/slug/MET.665;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1801;"Administration de systèmes d'information";https://candidat.francetravail.fr/metierscope/fiche-metier/M1801;"informatique, Internet/systèmes et réseaux| électricité, électronique, robotique/télécommunications"
"chauffeur / chauffeuse de taxi";https://www.onisep.fr/http/redirection/metier/slug/MET.662;"Les métiers des grands événements culturels et sportifs";"Zoom sur les métiers";2023;9782273016742;"GFE O : transport, logistique";N4102;"Conduite de transport de particuliers";https://candidat.francetravail.fr/metierscope/fiche-metier/N4102;"logistique, transport/transport"
étanchéiste;https://www.onisep.fr/http/redirection/metier/slug/MET.55;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1613;"Travaux d'étanchéité et d'isolation";https://candidat.francetravail.fr/metierscope/fiche-metier/F1613;"construction, architecture, travaux publics/charpente, couverture| construction, architecture, travaux publics/génie civil, construction (généralités)"
"responsable d'approvisionnement en exploitations forestières";https://www.onisep.fr/http/redirection/metier/slug/MET.8009;"Les métiers du bois";"Zoom sur les métiers";2023;9782273016704;"GFE A : agriculture";;;;"agriculture, animaux/forêt| commerce, marketing, vente/marketing, vente"
"secrétaire d'édition";https://www.onisep.fr/http/redirection/metier/slug/MET.67;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";E1105;"Coordination d'édition";https://candidat.francetravail.fr/metierscope/fiche-metier/E1105;"information-communication, audiovisuel/journalisme, édition, publicité"
"ingénieur mathématicien / ingénieure mathématicienne";https://www.onisep.fr/http/redirection/metier/slug/MET.931;"Mathématiques, statistiques et informatique";"Zoom sur les métiers";2021;9782273015547;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/metierscope/fiche-metier/K2402;sciences/mathématiques
"boucher / bouchère";https://www.onisep.fr/http/redirection/metier/slug/MET.268;"Les métiers du goût et des saveurs";Parcours;2021;9782273015721;"GFE K : production alimentaire";D1101;Boucherie;https://candidat.francetravail.fr/metierscope/fiche-metier/D1101;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces"
"commercial itinérant / commerciale itinérante";https://www.onisep.fr/http/redirection/metier/slug/MET.8011;"Les métiers du commerce et de la vente";"Zoom sur les métiers";2022;9782273016230;"GFE Q : commerce, gestion, finances";D1402;"Relation commerciale grands comptes et entreprises";https://candidat.francetravail.fr/metierscope/fiche-metier/D1402;"commerce, marketing, vente/marketing, vente"
"matelot de la marine marchande";https://www.onisep.fr/http/redirection/metier/slug/MET.54;"Les métiers du transport et de la logistique";Parcours;2024;9782273016926;"GFE O : transport, logistique";N3102;"Equipage de la navigation maritime";https://candidat.francetravail.fr/metierscope/fiche-metier/N3102;"logistique, transport/transport"
"chef / cheffe de projet éolien";https://www.onisep.fr/http/redirection/metier/slug/MET.302;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";;;;"environnement, énergies, propreté/énergies"
"technicien / technicienne biologiste";https://www.onisep.fr/http/redirection/metier/slug/MET.288;"Les métiers de l'industrie du médicament";"Zoom sur les métiers";2020;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";"H1210 | H1503";"Intervention technique en études, recherche et développement | Intervention technique en laboratoire d'analyse industrielle";"https://candidat.francetravail.fr/metierscope/fiche-metier/H1210 | https://candidat.francetravail.fr/metierscope/fiche-metier/H1503";"sciences/biologie| environnement, énergies, propreté/déchets, pollutions et risques| santé, social, sport/santé (généralités)"
"graveur / graveuse sur métal";https://www.onisep.fr/http/redirection/metier/slug/MET.533;;"pas de publication Onisep spécifique";;;"GFE V : arts, spectacle, audiovisuel";B1303;"Gravure - ciselure";https://candidat.francetravail.fr/metierscope/fiche-metier/B1303;"arts, culture, artisanat/artisanat d'art| arts, culture, artisanat/arts plastiques"
"menuisier / menuisière";https://www.onisep.fr/http/redirection/metier/slug/MET.439;"Les métiers de l'artisanat d'art";Parcours;2023;9782273016353;"GFE M : travail du bois";"F1607 | H2206";"Pose de fermetures menuisées | Réalisation de menuiserie bois et tonnellerie";"https://candidat.francetravail.fr/metierscope/fiche-metier/F1607 | https://candidat.francetravail.fr/metierscope/fiche-metier/H2206";"construction, architecture, travaux publics/agencement| construction, architecture, travaux publics/ameublement| matières premières, fabrication, industries/bois| construction, architecture, travaux publics/menuiserie"
"tailleur-couturier / tailleuse-couturière";https://www.onisep.fr/http/redirection/metier/slug/MET.291;"Mode et luxe";Parcours;2024;9782273016803;"GFE L : textile, habillement, cuir";B1803;"Réalisation de vêtements sur mesure ou en petite série";https://candidat.francetravail.fr/metierscope/fiche-metier/B1803;"matières premières, fabrication, industries/textile, habillement"
"chef / cheffe de projet packaging";https://www.onisep.fr/http/redirection/metier/slug/MET.858;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE O : transport, logistique";;;;"logistique, transport/logistique"
"assistant / assistante en architecture";https://www.onisep.fr/http/redirection/metier/slug/MET.648;"Les métiers de l'architecture, de l'urbanisme et du paysage";Parcours;2024;9782273016889;"GFE C : bâtiment";;;;"construction, architecture, travaux publics/architecture| construction, architecture, travaux publics/bureau d'études BTP| informatique, Internet/informatique industrielle et technologique"
"architecte big data";https://www.onisep.fr/http/redirection/metier/slug/MET.848;;"pas de publication Onisep spécifique";;;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1806;"Conseil et maîtrise d'ouvrage en systèmes d'information";https://candidat.francetravail.fr/metierscope/fiche-metier/M1806;"informatique, Internet/bases de données| sciences/mathématiques| information-communication, audiovisuel/technologies de l'information"
"conducteur / conductrice de machine à imprimer";https://www.onisep.fr/http/redirection/metier/slug/MET.274;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE N : techniques graphiques, impression";E1301;"Conduite de machines d'impression";https://candidat.francetravail.fr/metierscope/fiche-metier/E1301;"mécanique/automatismes| matières premières, fabrication, industries/fabrication, productique| information-communication, audiovisuel/industries graphiques"
"énergéticien / énergéticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.752;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";;;;"mécanique/automatismes| électricité, électronique, robotique/électrotechnique| environnement, énergies, propreté/énergies| matières premières, fabrication, industries/papier, carton| sciences/physique"
"conseiller / conseillère en assurances";https://www.onisep.fr/http/redirection/metier/slug/MET.909;"Les métiers dans l'assurance";"Zoom sur les métiers";2023;9782273016728;"GFE Q : commerce, gestion, finances";C1102;"Conseil clientèle en assurances";https://candidat.francetravail.fr/metierscope/fiche-metier/C1102;"banque, assurances, immobilier/assurances"
"ingénieur technico-commercial / ingénieure technico-commerciale en chimie";https://www.onisep.fr/http/redirection/metier/slug/MET.826;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";D1407;"Relation technico-commerciale";https://candidat.francetravail.fr/metierscope/fiche-metier/D1407;"sciences/chimie| commerce, marketing, vente/marketing, vente"
"chef / cheffe de rang";https://www.onisep.fr/http/redirection/metier/slug/MET.7990;"Les métiers de l'hôtellerie et des restaurations";"Zoom sur les métiers";2021;9782273015509;"GFE S : hôtellerie,  tourisme, loisirs";G1803;"Service en restauration";https://candidat.francetravail.fr/metierscope/fiche-metier/G1803;"hôtellerie-restauration, tourisme/restauration"
"grutier / grutière";https://www.onisep.fr/http/redirection/metier/slug/MET.698;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1301;"Conduite de grue";https://candidat.francetravail.fr/metierscope/fiche-metier/F1301;"mécanique/engins| construction, architecture, travaux publics/génie civil, construction (généralités)| construction, architecture, travaux publics/travaux publics"
"entraîneur / entraîneuse de chevaux";https://www.onisep.fr/http/redirection/metier/slug/MET.471;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE A : agriculture";L1401;"Sportif professionnel";https://candidat.francetravail.fr/metierscope/fiche-metier/L1401;"agriculture, animaux/soins aux animaux"
"auditeur / auditrice interne";https://www.onisep.fr/http/redirection/metier/slug/MET.81;"Gestion, comptabilité et ressources humaines";Parcours;2021;9782273015769;"GFE Q : commerce, gestion, finances";M1202;"Audit et contrôle comptables et financiers";https://candidat.francetravail.fr/metierscope/fiche-metier/M1202;"gestion des entreprises, comptabilité/administration de l'entreprise| informatique, Internet/informatique (généralités)"
"technicien / technicienne de maintenance en génie climatique";https://www.onisep.fr/http/redirection/metier/slug/MET.83;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE H : électricité, énergie, électronique";"I1306 | I1308";"Installation et maintenance en froid, conditionnement d'air | Maintenance d'installation de chauffage";"https://candidat.francetravail.fr/metierscope/fiche-metier/I1306 | https://candidat.francetravail.fr/metierscope/fiche-metier/I1308";"environnement, énergies, propreté/énergies| construction, architecture, travaux publics/équipement technique"
"inséminateur / inséminatrice";https://www.onisep.fr/http/redirection/metier/slug/MET.831;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE A : agriculture";A1303;"Ingénierie en agriculture et environnement naturel";https://candidat.francetravail.fr/metierscope/fiche-metier/A1303;"agriculture, animaux/élevage, aquaculture| agriculture, animaux/soins aux animaux"
"chargé / chargée de clientèle banque";https://www.onisep.fr/http/redirection/metier/slug/MET.671;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";C1206;"Gestion de clientèle bancaire";https://candidat.francetravail.fr/metierscope/fiche-metier/C1206;"banque, assurances, immobilier/banque| commerce, marketing, vente/marketing, vente"
"animateur / animatrice de radio et de télévision";https://www.onisep.fr/http/redirection/metier/slug/MET.582;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";L1103;"Présentation de spectacles ou d'émissions";https://candidat.francetravail.fr/metierscope/fiche-metier/L1103;"information-communication, audiovisuel/audiovisuel| information-communication, audiovisuel/journalisme, édition, publicité"
"technicien pétrolier / technicienne pétrolière";https://www.onisep.fr/http/redirection/metier/slug/MET.777;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";;;;"environnement, énergies, propreté/énergies"
"credit manager";https://www.onisep.fr/http/redirection/metier/slug/MET.458;"Gestion, comptabilité et ressources humaines";Parcours;2021;9782273015769;"GFE Q : commerce, gestion, finances";M1207;"Trésorerie et financement";https://candidat.francetravail.fr/metierscope/fiche-metier/M1207;"gestion des entreprises, comptabilité/administration de l'entreprise| gestion des entreprises, comptabilité/comptabilité| banque, assurances, immobilier/finances"
"barman / barmaid";https://www.onisep.fr/http/redirection/metier/slug/MET.145;"Les métiers de l'hôtellerie et des restaurations";"Zoom sur les métiers";2021;9782273015509;"GFE S : hôtellerie,  tourisme, loisirs";G1801;"Café, bar brasserie";https://candidat.francetravail.fr/metierscope/fiche-metier/G1801;"hôtellerie-restauration, tourisme/restauration"
"médecin généraliste";https://www.onisep.fr/http/redirection/metier/slug/MET.869;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";J1102;"Médecine généraliste et spécialisée";https://candidat.francetravail.fr/metierscope/fiche-metier/J1102;"santé, social, sport/médical"
"aérodynamicien / aérodynamicienne en aéronautique";https://www.onisep.fr/http/redirection/metier/slug/MET.371;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2023;9782273016292;"GFE F : mécanique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"mécanique/aéronautique| mécanique/mécanique (généralités)| sciences/physique"
"chargé / chargée de valorisation de la recherche";https://www.onisep.fr/http/redirection/metier/slug/MET.284;;"pas de publication Onisep spécifique";;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";;;;"économie, droit, politique/droit privé"
halieute;https://www.onisep.fr/http/redirection/metier/slug/MET.620;;"pas de publication Onisep spécifique";;;"GFE A : agriculture";A1303;"Ingénierie en agriculture et environnement naturel";https://candidat.francetravail.fr/metierscope/fiche-metier/A1303;"agriculture, animaux/agriculture (généralités)| sciences/biologie"
"technicien / technicienne en traitement des matériaux";https://www.onisep.fr/http/redirection/metier/slug/MET.942;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";;;;"sciences/chimie| sciences/physique| mécanique/travail des métaux"
"accompagnant éducatif et social / accompagnante éducative et sociale";https://www.onisep.fr/http/redirection/metier/slug/MET.782;"Travail social";Parcours;2024;9782273016827;"GFE R : santé, social, soins personnels";"K1301 | K1302";"Accompagnement médicosocial | Assistance auprès d'adultes";"https://candidat.francetravail.fr/metierscope/fiche-metier/K1301 | https://candidat.francetravail.fr/metierscope/fiche-metier/K1302";"santé, social, sport/travail social"
géologue;https://www.onisep.fr/http/redirection/metier/slug/MET.570;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";F1105;"Études géologiques";https://candidat.francetravail.fr/metierscope/fiche-metier/F1105;"environnement, énergies, propreté/déchets, pollutions et risques| environnement, énergies, propreté/énergies| sciences/sciences de la Terre"
"assistant / assistante de direction";https://www.onisep.fr/http/redirection/metier/slug/MET.319;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";M1604;"Assistanat de direction";https://candidat.francetravail.fr/metierscope/fiche-metier/M1604;"gestion des entreprises, comptabilité/secrétariat"
"assistant maternel / assistante maternelle";https://www.onisep.fr/http/redirection/metier/slug/MET.479;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";K1303;"Assistance auprès d'enfants";https://candidat.francetravail.fr/metierscope/fiche-metier/K1303;"santé, social, sport/travail social"
"professeur / professeure dans l'enseignement agricole";https://www.onisep.fr/http/redirection/metier/slug/MET.423;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";K2109;"Enseignement technique et professionnel";https://candidat.francetravail.fr/metierscope/fiche-metier/K2109;"agriculture, animaux/agriculture (généralités)| lettres, langues, enseignement/enseignement"
"glacier-sorbetier / glacière-sorbetière";https://www.onisep.fr/http/redirection/metier/slug/MET.377;;"pas de publication Onisep spécifique";;;"GFE K : production alimentaire";D1104;"Pâtisserie, confiserie, chocolaterie et glacerie";https://candidat.francetravail.fr/metierscope/fiche-metier/D1104;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces"
"expert / experte en sécurité informatique";https://www.onisep.fr/http/redirection/metier/slug/MET.459;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1802;"Expertise et support en systèmes d'information";https://candidat.francetravail.fr/metierscope/fiche-metier/M1802;"informatique, Internet/systèmes et réseaux"
modiste;https://www.onisep.fr/http/redirection/metier/slug/MET.897;"Mode et luxe";Parcours;2024;9782273016803;"GFE L : textile, habillement, cuir";B1801;"Réalisation d'articles de chapellerie";https://candidat.francetravail.fr/metierscope/fiche-metier/B1801;"arts, culture, artisanat/arts graphiques| matières premières, fabrication, industries/textile, habillement"
modiste;https://www.onisep.fr/http/redirection/metier/slug/MET.897;"Les métiers de l'artisanat d'art";Parcours;2023;9782273016353;"GFE L : textile, habillement, cuir";B1801;"Réalisation d'articles de chapellerie";https://candidat.francetravail.fr/metierscope/fiche-metier/B1801;"arts, culture, artisanat/arts graphiques| matières premières, fabrication, industries/textile, habillement"
hydrobiologiste;https://www.onisep.fr/http/redirection/metier/slug/MET.232;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/metierscope/fiche-metier/K2402;"sciences/biologie| environnement, énergies, propreté/gestion de l'eau"
art-thérapeute;https://www.onisep.fr/http/redirection/metier/slug/MET.939;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";K1104;Psychologie;https://candidat.francetravail.fr/metierscope/fiche-metier/K1104;"santé, social, sport/paramédical"
"responsable des ressources humaines";https://www.onisep.fr/http/redirection/metier/slug/MET.697;"Gestion, comptabilité et ressources humaines";Parcours;2021;9782273015769;"GFE Q : commerce, gestion, finances";M1503;"Management des ressources humaines";https://candidat.francetravail.fr/metierscope/fiche-metier/M1503;"gestion des entreprises, comptabilité/administration de l'entreprise| économie, droit, politique/droit (généralités)| gestion des entreprises, comptabilité/ressources humaines"
"technicien / technicienne de contrôle";https://www.onisep.fr/http/redirection/metier/slug/MET.649;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1503;"Intervention technique en laboratoire d'analyse industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/H1503;"mécanique/automatismes| sciences/chimie| matières premières, fabrication, industries/papier, carton"
"employé polyvalent / employée polyvalente en restauration rapide";https://www.onisep.fr/http/redirection/metier/slug/MET.7999;"Les métiers des grands événements culturels et sportifs";"Zoom sur les métiers";2023;9782273016742;"GFE S : hôtellerie,  tourisme, loisirs";G1603;"Personnel polyvalent en restauration";https://candidat.francetravail.fr/metierscope/fiche-metier/G1603;"hôtellerie-restauration, tourisme/restauration"
"chef / cheffe de produit marketing";https://www.onisep.fr/http/redirection/metier/slug/MET.539;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE Q : commerce, gestion, finances";M1703;"Management et gestion de produit";https://candidat.francetravail.fr/metierscope/fiche-metier/M1703;"commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing, vente"
"traducteur / traductrice français écrit/LSF";https://www.onisep.fr/http/redirection/metier/slug/MET.7902;;"pas de publication Onisep spécifique";;;"GFE U : communication, médias";E1108;"Traduction, interprétariat";https://candidat.francetravail.fr/metierscope/fiche-metier/E1108;"lettres, langues, enseignement/langues| lettres, langues, enseignement/lettres, linguistique"
pédiatre;https://www.onisep.fr/http/redirection/metier/slug/MET.335;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";J1102;"Médecine généraliste et spécialisée";https://candidat.francetravail.fr/metierscope/fiche-metier/J1102;"santé, social, sport/médical"
"magistrat / magistrate";https://www.onisep.fr/http/redirection/metier/slug/MET.769;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE W : droit, enseignement, recherche et sciences humaines";K1904;Magistrature;https://candidat.francetravail.fr/metierscope/fiche-metier/K1904;"économie, droit, politique/activité judiciaire"
styliste;https://www.onisep.fr/http/redirection/metier/slug/MET.25;"Mode et luxe";Parcours;2024;9782273016803;"GFE L : textile, habillement, cuir";B1805;Stylisme;https://candidat.francetravail.fr/metierscope/fiche-metier/B1805;"arts, culture, artisanat/arts graphiques| matières premières, fabrication, industries/textile, habillement"
"agent / agente de sûreté ferroviaire";https://www.onisep.fr/http/redirection/metier/slug/MET.185;"Les métiers du transport et de la logistique";Parcours;2024;9782273016926;"GFE O : transport, logistique";K2503;"Sécurité et surveillance privées";https://candidat.francetravail.fr/metierscope/fiche-metier/K2503;"armée, sécurité/sécurité, prévention"
"personnel de hall d'hôtel de luxe";https://www.onisep.fr/http/redirection/metier/slug/MET.513;"Les métiers de l'hôtellerie et de la restauration";Parcours;2022;9782273016179;"GFE S : hôtellerie,  tourisme, loisirs";"G1502 | G1703";"Personnel polyvalent d'hôtellerie | Réception en hôtellerie";"https://candidat.francetravail.fr/metierscope/fiche-metier/G1502 | https://candidat.francetravail.fr/metierscope/fiche-metier/G1703";"hôtellerie-restauration, tourisme/hôtellerie"
"charpentier / charpentière de marine";https://www.onisep.fr/http/redirection/metier/slug/MET.915;;"pas de publication Onisep spécifique";;;"GFE M : travail du bois";F1503;"Réalisation - installation d'ossatures bois";https://candidat.francetravail.fr/metierscope/fiche-metier/F1503;"matières premières, fabrication, industries/bois| mécanique/construction navale"
"agent / agente de transit";https://www.onisep.fr/http/redirection/metier/slug/MET.398;"Les métiers du transport et de la logistique";Parcours;2024;9782273016926;"GFE O : transport, logistique";N1202;"Gestion des opérations de circulation internationale des marchandises";https://candidat.francetravail.fr/metierscope/fiche-metier/N1202;"logistique, transport/transport"
"data manager";https://www.onisep.fr/http/redirection/metier/slug/MET.613;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1802;"Expertise et support en systèmes d'information";https://candidat.francetravail.fr/metierscope/fiche-metier/M1802;"informatique, Internet/informatique (généralités)| sciences/mathématiques"
"modeleur céramiste industriel / modeleuse céramiste industrielle";https://www.onisep.fr/http/redirection/metier/slug/MET.7925;;"pas de publication Onisep spécifique";;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2908;"Modelage de matériaux non métalliques";https://candidat.francetravail.fr/metierscope/fiche-metier/H2908;"matières premières, fabrication, industries/céramique, composites"
"aide-soignant / aide-soignante";https://www.onisep.fr/http/redirection/metier/slug/MET.561;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";J1501;"Soins d'hygiène, de confort du patient";https://candidat.francetravail.fr/metierscope/fiche-metier/J1501;"santé, social, sport/paramédical"
"accordeur de piano / accordeuse de piano";https://www.onisep.fr/http/redirection/metier/slug/MET.7935;;"pas de publication Onisep spécifique";;;"GFE V : arts, spectacle, audiovisuel";B1501;"Fabrication et réparation d'instruments de musique";https://candidat.francetravail.fr/metierscope/fiche-metier/B1501;"arts, culture, artisanat/artisanat d'art| arts, culture, artisanat/arts du spectacle"
"relieur-doreur / relieuse-doreuse";https://www.onisep.fr/http/redirection/metier/slug/MET.581;"Les métiers de l'artisanat d'art";Parcours;2023;9782273016353;"GFE V : arts, spectacle, audiovisuel";B1402;"Reliure et restauration de livres et archives";https://candidat.francetravail.fr/metierscope/fiche-metier/B1402;"arts, culture, artisanat/artisanat d'art| information-communication, audiovisuel/industries graphiques"
"pharmacien distributeur / pharmacienne distributrice en gros";https://www.onisep.fr/http/redirection/metier/slug/MET.7860;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";J1202;Pharmacie;https://candidat.francetravail.fr/metierscope/fiche-metier/J1202;"logistique, transport/logistique| santé, social, sport/médical"
"scrum master";https://www.onisep.fr/http/redirection/metier/slug/MET.7959;;"pas de publication Onisep spécifique";;;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1805;"Études et développement informatique";https://candidat.francetravail.fr/metierscope/fiche-metier/M1805;"information-communication, audiovisuel/communication| informatique, Internet/informatique (généralités)"
